Title,URL,Description,Rating,Rating_Count,Genre
Hot Spot,https://www.imdb.com/title/tt31391056/,It features three stories that are humorously evocative and a fourth one that&apos;s deeply disturbing.,7.3,890,"Comedy, Drama"
Hejjaru,https://www.imdb.com/title/tt27996583/,"Rajaram, born in 1965, loses something that was the most precious of his life in his adolescence. While searching for those who robbed him Rajaram encounters Bhagat, born in 1995, whose life incident is almost like his.starts to f...",8.9,281,Thriller
Juna Furniture,https://www.imdb.com/title/tt31844525/,"A devoted father fights to bring justice for his wife&apos;s death, highlighting the plight of neglected elderly parents in a society consumed by materialism.",7.7,437,Drama
Moorane Krishnappa,https://www.imdb.com/title/tt30138258/,"Veeranna builds a Ganesha temple for re-election. Celebrity inauguration derailed by tragic death. Village seeks replacement. Krishnappa&apos;s friend Nandish promises CM&apos;s presence, giving village hope and making Krishnappa a hero.",7.6,144,Comedy
Ullozhukku,https://www.imdb.com/title/tt32537777/,"A family&apos;s attempt to bury a loved one is thwarted by floodwaters, forcing them to confront long-buried secrets and lies that threaten their unity.",7.6,1509,Drama
Juni,https://www.imdb.com/title/tt30873611/,"Partha is a young chef in Bangalore who falls for Juni, a regular customer at his café. His feelings seem to be reciprocated, until unexpected people come in between. Can Partha overcome them, and himself, in his quest for love?",7.5,200,Romance
Fighter,https://www.imdb.com/title/tt13818368/,A reckless yet brilliant squadron leader and his team of elite fighter pilots face mortal dangers and inner demons as they unite for a deadly mission.,6.2,50415,"Action, Drama"
Munjya,https://www.imdb.com/title/tt27995594/,"A young man&apos;s visit to his native village unveils a family secret and a vengeful spirit, the Munjya, who wants to get married. Now the young man must fight to protect himself and his love from Munjya&apos;s clutches.",6.4,23393,"Comedy, Horror"
Ibbani Tabbida Ileyali,https://www.imdb.com/title/tt26738153/,"College sweethearts Sid and Anahita&apos;s enduring romance spans decades, weathering life&apos;s ups and downs with unwavering love and cherished memories.",7.4,713,"Drama, Romance"
Vettaiyan,https://www.imdb.com/title/tt26936666/,Ruthless criminal activity is met with force from a maverick police officer with a disregard for the rules as he confronts an outbreak of lawlessness.,7.2,36772,"Action, Crime, Drama"
A.R.M,https://www.imdb.com/title/tt11531182/,"Set in the Northern Kerala in 1900, 1950 and 1990, three generations of heroes, Maniyan, Kunjikelu and Ajayan, try to protect the most important treasure of the land.",7.2,7066,"Action, Adventure, Comedy"
Kalinga,https://www.imdb.com/title/tt32880190/,"A protagonist encounters terrifying events, uncovering a sinister mystery lurking beneath the surface.",8.7,6451,Horror
Shalivahana Shake,https://www.imdb.com/title/tt33320857/,"Time is an illusion said Einstein, well what if we could manipulate that illusion. The story opens by contextualizing the audience with the creation of a motif that goes on to play a pivotal role in the story. This is achieved thr...",8.6,7,No genre available
Anweshippin Kandethum,https://www.imdb.com/title/tt13885428/,Revolves around two major crimes that shook kerala and the subsequent inquiry into the cases by sop.,7.4,8950,"Crime, Drama, Thriller"
Mithya,https://www.imdb.com/title/tt29451496/,"It is a poignant journey of eleven-year-old Mithun, as he navigates a challenging path of self-discovery and resilience after a devastating loss shatters his world.",9.1,54,Drama
Sarfira,https://www.imdb.com/title/tt23475174/,"A man fights to make his dream of creating a low cost airline a reality, facing opposition from devious competitive airline owners who threaten his business and his passengers&apos; safety.",7.0,9803,Drama
Photo,https://www.imdb.com/title/tt27404067/,A father navigating through the challenges brought about by the COVID-19 lockdown.,9.1,30,Drama
Swatantrya Veer Savarkar,https://www.imdb.com/title/tt14753612/,"The life journey of Indian freedom fighter and reformer Vinayak Damodar Savarkar, popularly known as Veer Savarkar.",7.7,17078,"Biography, Drama"
Merry Christmas,https://www.imdb.com/title/tt15392282/,Two strangers meet on a fateful Christmas Eve. A night of delirious romance turns into a nightmare. Revealing anything more would be a crime.,6.9,28650,"Drama, Mystery, Thriller"
Srikanth,https://www.imdb.com/title/tt23790740/,"Blind Srikanth gets into MIT, founds Bollant Industries. Pursues goals for visually impaired while facing entrepreneurial challenges, navigating personal sacrifices. Highlights obstacles overcome by the blind in academics and busi...",7.4,13118,"Biography, Drama"
Bagheera,https://www.imdb.com/title/tt15380608/,"When society turns into a jungle, just one predator cries out for justice.",6.9,5259,Action
Mathu Vadalara 2,https://www.imdb.com/title/tt33291871/,"Babu and Yesu, former delivery agents, embark on a thrilling mission as special agents, facing extraordinary challenges with humor, surprises, and nonstop excitement.",7.0,1397,"Action, Comedy, Crime"
Laughing Buddha,https://www.imdb.com/title/tt27706855/,Explores the life and personal struggles of a police head constable named Govardhan.,7.3,1233,Comedy
Lover,https://www.imdb.com/title/tt28566478/,"Arun and Divya&apos;s six-year relationship starts unraveling as they drift apart, raising the question of whether love can withstand such differences.",7.0,2631,Drama
Thangalaan,https://www.imdb.com/title/tt23018924/,"Based on the true events that revolve around the lives of mine workers in the Kolar Gold Fields, Karnataka.",7.0,4878,"Action, Adventure, Drama"
Saripodhaa Sanivaaram,https://www.imdb.com/title/tt26903104/,"In order to defend the innocent from a corrupt and brutal cop, a vigilante hero must work around his own self-imposed code of honor.",7.0,7414,"Action, Thriller"
Sector 36,https://www.imdb.com/title/tt21626774/,"A fictional story Inspired by true events, several children go missing from a basti (slum) in Sector 36. A determined police officer must now face off with a cunning serial killer as a chilling investigation and dark secrets unfold.",7.1,23234,"Crime, Thriller"
O2,https://www.imdb.com/title/tt15427934/,"A gripping narrative of a child prodigy who eyes the impossible as a doctor to give a fresh breath of life to life. A mesmerizing tale of ambition, sacrifice and the delicate balance between professional success and personal redem...",6.9,7899,"Romance, Thriller"
Raayan,https://www.imdb.com/title/tt26233598/,"A series of unfortunate events lead Raayan, a simpleton to be dragged into the dreaded world of crime and manipulation.",6.5,9703,"Action, Drama"
Shaitaan,https://www.imdb.com/title/tt27744786/,"A family&apos;s getaway turns terrifying when an intruder possesses the teen daughter&apos;s body, putting her at the mercy of his increasingly sinister commands.",6.5,52038,"Drama, Horror, Thriller"
Khel Khel Mein,https://www.imdb.com/title/tt27056012/,Revolves around a group of friends who gather for a dinner and end up revealing secrets about each other.,6.5,25348,"Comedy, Drama"
Guruvayoor Ambalanadayil,https://www.imdb.com/title/tt25400540/,"A young man never wanted to marry because his girlfriend married someone else. Five years later, he was all set to get married. But a discovery about his bride&apos;s extended family forces him to reconsider? Will he marry her?",6.6,3874,Comedy
Paradise,https://www.imdb.com/title/tt28800663/,"An Indian tourist couple arrive in the hill country of crisis ridden Sri Lanka to celebrate their 5th wedding anniversary. But, when things take an unexpected turn, conflicts deepen revealing cracks in their relationship.",6.6,3304,Drama
Teri Baaton Mein Aisa Uljha Jiya,https://www.imdb.com/title/tt27459160/,"Aryan is not able to find a perfect life partner. He meets a perfect girl, Sifra, during an official assignment in the US and falls in love with her only to discover later that it&apos;s an impossible love story.",6.2,52925,"Comedy, Drama, Romance"
35-Chinna Katha Kaadu,https://www.imdb.com/title/tt32750432/,"Revolves around a young mother facing challenges when her son fails to secure passing marks, igniting events that test the family&apos;s resilience and unity.",7.8,724,Comedy
Shivamma,https://www.imdb.com/title/tt22171962/,Shivamma (46) is a mid-day meal cook in a village government school and the sole breadwinner. Her family is in the process of finding a groom for her daughter. Shivamma has her own affair running alongside.,7.8,53,Drama
Siddharth Roy,https://www.imdb.com/title/tt27917467/,"Siddharth Roy Embraces logic and reason but is overwhelmed by emotions, resulting in heartache and inner turmoil.",6.6,2775,"Drama, Romance"
Gaganachari,https://www.imdb.com/title/tt15437820/,"A dystopian comedy that takes place in the 2040&apos;s, where an apartment inhabited by three problematic bachelors soon becomes a haven for an extra-terrestrial female fugitive.",7.0,835,"Comedy, Sci-Fi"
Roopanthara,https://www.imdb.com/title/tt32801217/,"Every worm at least once in its lifetime gets an opportunity to transform itself into a butterfly. But the road to transformation is painful. Will the worm decide to continue existing as a worm, or will it choose to break its cocoon?",7.0,261,Drama
Bhakshak,https://www.imdb.com/title/tt27936770/,Revolves around the journey of an unwavering woman&apos;s quest to seek justice and her perseverance in getting a heinous crime to light.,7.2,6774,"Crime, Drama"
Captain Miller,https://www.imdb.com/title/tt22170036/,A man leaves and turns against the British-led Indian military after witnessing atrocity.,6.5,8231,"Action, Adventure, Drama"
Tillu Square,https://www.imdb.com/title/tt22987820/,"One year after a love affair entangled him in a murder case, a hapless DJ has a one-night stand that leads to even messier kerfuffles tied to his past.",6.6,3113,"Action, Comedy, Crime"
Kerebete,https://www.imdb.com/title/tt29626195/,"The annual Kerebete fishing event brings together the people of a Karnataka village. During the festivities, a controversial relationship causes tensions.",9.1,29,No genre available
Star,https://www.imdb.com/title/tt28539705/,"Follows a youngster Kalai and his aspirations of becoming a &apos;Star&apos; in the Tamil Film Industry. Born in a lower-middle-class family, will Kalai overcome all his struggles to emerge as a Star?",6.5,2117,Drama
Gaami,https://www.imdb.com/title/tt27657791/,"Shankar, an amnesiac Aghori who suffers from the fear of touch, goes on a dangerous Himalayan trail in search of a mythical cure for his condition. What happens when his past uncovers the way for him?",6.4,1840,"Adventure, Drama, Fantasy"
